,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
45,13611,Mookie Betts,LAD,122,550,0.854,$31.0,5.4,20.7,3.9,131,-0.1,-1.2
53,21523,Jonathan India,CIN,150,631,0.835,$31.6,5.1,16.6,3.9,122,1.9,-0.9
74,13152,Jorge Polanco,MIN,152,644,0.826,$31.4,4.7,20.6,3.9,122,-3.3,3.1
102,10472,Enrique Hernandez,BOS,134,585,0.786,$31.6,3.6,10.2,3.9,110,9.3,3.0
9,11368,Yasmani Grandal,CHW,93,375,0.939,$29.8,1.3,22.3,3.7,159,2.1,-4.7
15,13624,Corey Seager,LAD,95,409,0.915,$29.4,3.3,22.4,3.7,147,0.8,-1.9
38,19556,Yordan Alvarez,HOU,144,598,0.877,$29.2,2.9,28.6,3.7,138,-12.5,0.5
213,17620,Myles Straw,- - -,158,638,0.696,$29.5,5.4,4.3,3.7,98,10.9,6.1
13,4314,Joey Votto,CIN,129,533,0.938,$29.2,2.2,27.9,3.6,140,-9.1,0.4
61,15429,Kris Bryant,- - -,144,586,0.835,$28.5,4.8,22.5,3.6,123,-6.3,5.4
86,12979,Javier Baez,- - -,138,547,0.813,$29.2,5.9,14.1,3.6,116,4.2,3.0
39,12927,Brandon Nimmo,NYM,92,386,0.838,$27.7,4.3,17.3,3.5,137,4.4,-0.9
66,17982,Ty France,SEA,152,650,0.813,$27.9,1.9,20.7,3.5,129,-8.0,-2.7
75,14128,Joey Gallo,- - -,153,616,0.808,$28.3,4.2,21.2,3.5,123,-6.9,4.2
91,12564,Trevor Story,COL,142,595,0.801,$28.3,6.7,6.1,3.5,100,9.6,6.4
55,7304,Salvador Perez,KCR,161,665,0.859,$26.8,1.8,21.2,3.4,127,-10.3,-0.8
52,19198,Yuli Gurriel,HOU,143,605,0.846,$26.8,2.0,23.6,3.4,134,-10.7,-1.6
131,18030,Harrison Bader,STL,103,401,0.785,$27.1,4.0,7.6,3.4,110,12.9,2.5
94,15223,Adam Frazier,- - -,155,639,0.779,$27.5,4.8,11.3,3.4,114,2.0,-0.1
209,16505,Matt Chapman,OAK,151,622,0.716,$27.6,3.6,2.5,3.4,101,10.8,2.0
5,10264,Brandon Belt,SFG,97,381,0.975,$26.7,4.1,26.2,3.3,158,-5.4,-2.1
72,19290,Randy Arozarena,TBR,141,604,0.815,$26.4,5.9,22.0,3.3,128,-9.6,1.5
218,19352,Sean Murphy,OAK,119,448,0.71,$26.1,1.3,-1.7,3.3,99,19.1,-1.2
6,13590,Jesse Winker,CIN,110,485,0.949,$25.6,2.9,23.3,3.2,148,-7.4,-6.5
10,20043,Luis Robert,CHW,68,296,0.946,$25.6,4.8,21.9,3.2,157,-0.1,1.4
85,13621,Jeimer Candelario,DET,149,626,0.795,$25.5,2.4,15.3,3.2,119,-4.7,1.0
162,18314,Dansby Swanson,ATL,160,653,0.76,$25.4,4.2,2.0,3.2,98,8.1,3.4
230,11281,Whit Merrifield,KCR,162,720,0.711,$26.0,6.6,-0.3,3.2,91,8.3,7.4
