IDfg,Name,Team,G,PA,AVG,OBP,SLG,OPS,wRC+,WAR,Barrel%,HardHit%,GB%,FB%,HR/FB
19997,Santiago Espinal,TOR,92,246,0.311,0.376,0.405,0.781,115,2.2,1.6,22.8,43.5,34.6,0.03
14854,Mike Yastrzemski,SFG,139,532,0.224,0.311,0.457,0.768,106,2.2,10.3,39.3,33.6,47.0,0.158
10556,Cesar Hernandez,- - -,149,637,0.232,0.308,0.386,0.694,90,2.2,6.800000000000001,33.1,46.7,35.1,0.139
15351,Frank Schwindel,- - -,64,259,0.326,0.371,0.591,0.962,152,2.1,8.0,39.8,40.8,39.3,0.177
15161,Mitch Garver,MIN,68,243,0.256,0.358,0.517,0.875,137,2.1,17.4,53.6,31.2,45.7,0.20600000000000002
4106,Michael Brantley,HOU,121,508,0.311,0.362,0.437,0.799,123,2.1,5.8,42.9,45.9,27.9,0.069
11609,Willson Contreras,CHC,128,483,0.237,0.34,0.438,0.778,109,2.1,11.1,48.4,50.2,33.7,0.223
17719,Steven Duggar,SFG,107,297,0.257,0.33,0.437,0.767,107,2.1,8.3,33.3,37.6,36.0,0.125
17901,Andrew Benintendi,KCR,134,538,0.276,0.324,0.442,0.766,106,2.1,8.9,42.7,38.5,40.5,0.105
17128,Ramon Laureano,OAK,88,378,0.246,0.317,0.443,0.76,111,2.1,10.7,40.2,43.0,34.8,0.165
18564,Trent Grisham,SDP,132,527,0.242,0.327,0.413,0.74,103,2.1,5.2,36.5,41.4,37.0,0.12
10071,Jonathan Villar,NYM,142,505,0.249,0.322,0.416,0.738,105,2.1,7.1,34.9,48.6,30.7,0.184
2434,Nelson Cruz,- - -,140,584,0.265,0.334,0.497,0.832,122,2.0,13.5,52.0,42.9,38.6,0.209
17988,Tyler Stephenson,CIN,132,402,0.286,0.366,0.431,0.797,111,2.0,5.4,38.2,49.6,25.0,0.14300000000000002
17678,Alex Bregman,HOU,91,400,0.27,0.355,0.422,0.777,115,2.0,6.4,38.1,40.8,40.8,0.098
17027,Alex Verdugo,BOS,146,604,0.289,0.351,0.426,0.777,107,2.0,7.3,43.3,49.7,28.6,0.10099999999999999
15672,Austin Meadows,TBR,142,591,0.234,0.315,0.458,0.772,113,2.0,8.7,37.6,28.7,53.0,0.126
19918,Daulton Varsho,ARI,95,315,0.246,0.318,0.437,0.755,98,2.0,7.3,39.9,35.9,42.6,0.124
19734,Josh Rojas,ARI,139,550,0.264,0.341,0.411,0.752,102,2.0,4.8,30.7,49.3,27.800000000000004,0.113
5913,Leury Garcia,CHW,126,474,0.267,0.335,0.376,0.711,98,2.0,3.3000000000000003,32.2,55.8,24.1,0.065
22168,Akil Baddoo,DET,124,461,0.259,0.33,0.436,0.766,108,1.9,8.8,32.3,40.1,39.1,0.113
19599,Chas McCormick,HOU,108,320,0.257,0.319,0.447,0.766,109,1.9,10.2,48.7,35.8,42.2,0.177
12144,Max Kepler,MIN,121,490,0.211,0.306,0.413,0.719,95,1.9,10.8,42.5,37.1,44.3,0.128
11489,Michael A. Taylor,KCR,142,528,0.244,0.297,0.356,0.653,77,1.9,6.6000000000000005,40.2,44.3,34.0,0.10300000000000001
15464,Hunter Renfroe,BOS,144,572,0.259,0.315,0.501,0.816,114,1.8,14.400000000000002,44.3,39.0,43.3,0.18
16153,Austin Slater,SFG,129,306,0.241,0.32,0.423,0.744,103,1.8,9.5,41.6,50.5,25.5,0.25
16578,Yandy Diaz,TBR,134,541,0.256,0.353,0.387,0.74,111,1.8,7.000000000000001,40.6,51.800000000000004,32.0,0.106
18568,Luis Arraez,MIN,121,479,0.294,0.357,0.376,0.733,103,1.8,2.3,30.599999999999998,45.9,28.000000000000004,0.019
9077,Lorenzo Cain,MIL,78,286,0.257,0.329,0.401,0.729,97,1.8,4.3,37.1,51.0,32.9,0.11599999999999999
14735,Brett Phillips,TBR,119,292,0.206,0.3,0.427,0.727,103,1.8,11.1,45.1,35.7,42.9,0.217
9368,Evan Longoria,SFG,81,291,0.261,0.351,0.482,0.833,123,1.7,13.4,54.50000000000001,41.2,40.1,0.17300000000000001
13620,Carson Kelly,ARI,98,359,0.24,0.343,0.411,0.754,103,1.7,8.5,33.6,31.5,43.8,0.126
6310,Alcides Escobar,WSN,75,349,0.288,0.34,0.404,0.744,100,1.7,3.0,21.0,43.6,29.7,0.052000000000000005
